x_chest,y_chest,z_chest,x_ankle,y_ankle,z_ankle,position
7,33,-255,-245,26,42,1
6,34,-255,-245,27,45,1
6,33,-255,-245,27,46,1
6,35,-255,-245,27,47,1
6,35,-255,-245,27,48,1
5,35,-255,-244,28,54,1
5,34,-255,-244,28,55,1
4,35,-255,-244,28,55,1
5,35,-256,-244,27,53,1
7,33,-256,-244,27,54,1
7,35,-255,-244,26,53,1
7,36,-254,-244,27,53,1
6,35,-255,-244,26,53,1
7,36,-255,-244,27,53,1
9,37,-254,-244,27,55,1
10,45,-252,-244,27,56,1
7,43,-254,-243,27,55,1
8,40,-254,-243,28,58,1
9,41,-254,-243,29,58,1
15,43,-253,-243,28,58,1
10,40,-254,-243,27,57,1
13,44,-253,-243,28,58,1
13,45,-252,-243,28,60,1
12,44,-253,-243,28,60,1
11,42,-253,-243,28,60,1
10,44,-253,-242,29,61,1
9,44,-252,-243,28,61,1
7,44,-253,-243,28,61,1
9,44,-253,-243,28,61,1
12,46,-252,-243,28,61,1
15,47,-251,-242,28,62,1
14,47,-252,-243,28,61,1
12,43,-253,-243,29,61,1
11,43,-253,-240,29,75,1
9,41,-254,-237,29,82,1
9,40,-254,-237,29,85,1
11,43,-253,-236,30,86,1
11,44,-253,-235,29,89,1
10,40,-254,-235,30,90,1
10,41,-253,-235,29,90,1
11,42,-253,-234,30,92,1
10,41,-254,-232,30,97,1
12,43,-252,-231,30,100,1
10,43,-253,-231,30,100,1
10,42,-253,-231,30,101,1
9,41,-254,-231,30,101,2
9,39,-254,-231,30,101,2
9,40,-254,-230,30,102,2
9,39,-254,-230,30,102,2
9,38,-254,-230,30,102,2
10,39,-254,-230,30,102,2
22,-51,-245,-243,-1,58,2
22,10,-258,-236,3,98,2
16,12,-258,-245,22,53,2
23,8,-258,-237,28,83,2
21,2,-259,-243,27,58,2
19,9,-259,-241,27,65,2
23,6,-258,-240,28,71,2
21,5,-259,-239,29,77,2
17,5,-258,-236,30,88,2
15,32,-256,-236,29,87,2
14,35,-254,-235,30,88,2
15,52,-251,-235,30,89,2
17,49,-251,-235,30,91,2
16,48,-252,-235,30,88,2
14,51,-251,-232,30,99,2
14,44,-252,-232,31,99,2
16,47,-251,-232,30,98,2
18,46,-252,-232,30,98,2
17,48,-251,-232,30,98,2
17,48,-252,-232,30,98,2
18,46,-252,-232,31,97,2
18,48,-251,-232,31,98,2
19,48,-251,-232,31,98,2
20,47,-252,-232,30,98,2
18,47,-252,-231,30,100,2
19,47,-251,-231,31,99,2
17,46,-252,-231,30,99,2
16,49,-251,-232,30,99,2
14,49,-253,-231,30,100,2
16,51,-251,-230,30,103,2
17,52,-251,-229,31,104,2
16,49,-251,-230,31,105,2
16,49,-251,-229,31,104,2
16,49,-251,-229,30,104,2
15,49,-251,-230,31,104,2
15,47,-252,-230,31,103,2
15,49,-251,-230,31,103,2
15,49,-251,-230,30,104,2
16,48,-251,-229,31,103,2
15,51,-251,-230,31,103,2
14,50,-251,-229,30,104,2
15,51,-251,-230,30,103,2
15,51,-252,-230,30,103,2
15,52,-250,-230,31,103,2
16,51,-251,-230,31,104,2
16,53,-250,-230,30,103,2
15,53,-250,-230,30,103,2
16,53,-250,-230,30,103,2
15,50,-251,-230,31,102,2
14,51,-251,-230,30,102,2
15,51,-251,-230,30,102,2
16,52,-251,-230,30,103,2
16,51,-251,-230,31,103,2
15,48,-251,-229,30,105,3
15,49,-251,-228,31,109,3
16,48,-252,-227,31,110,3
16,48,-251,-227,31,110,3
16,48,-252,-227,31,109,3
-6,-48,-245,-241,9,73,3
-55,-17,-250,-234,2,21,3
-3,26,-257,-233,16,-29,3
1,-55,-243,-241,20,42,3
6,44,-254,-227,32,111,3
7,53,-251,-222,33,120,3
7,49,-252,-220,32,125,3
6,47,-252,-218,33,127,3
6,48,-252,-218,33,128,3
5,45,-253,-218,33,129,3
4,44,-253,-218,32,129,3
5,45,-253,-217,33,129,3
6,46,-252,-217,32,131,3
6,45,-253,-217,33,131,3
6,47,-252,-217,33,131,3
6,47,-252,-216,32,132,3
8,50,-251,-216,33,132,3
7,48,-252,-217,33,132,3
4,44,-253,-216,33,131,3
4,45,-252,-216,33,131,3
4,46,-252,-216,32,132,3
5,49,-251,-216,32,132,3
10,51,-251,-216,32,132,3
6,46,-253,-216,33,132,3
7,45,-252,-216,32,132,3
6,45,-252,-216,32,133,3
6,45,-252,-216,32,132,3
6,43,-253,-216,33,132,3
8,47,-252,-216,32,132,3
7,46,-252,-216,32,132,3
6,46,-252,-216,32,131,3
10,51,-251,-216,33,132,3
9,49,-252,-216,33,132,3
9,48,-251,-216,32,132,3
8,48,-252,-216,33,132,3
8,48,-252,-216,33,132,3
7,48,-252,-216,32,132,3
6,47,-252,-216,32,132,3
7,48,-252,-216,33,132,3
6,47,-252,-217,33,132,3
6,46,-252,-214,32,135,3
8,47,-252,-215,32,135,3
6,46,-252,-215,33,134,3
6,45,-252,-215,32,134,3
9,50,-251,-214,32,135,3
10,53,-251,-214,33,134,3
9,52,-251,-215,32,135,3
9,51,-251,-215,32,134,3
7,50,-251,-215,33,134,3
8,50,-251,-215,32,134,3
9,50,-251,-215,33,134,3
9,50,-251,-215,32,134,3
9,49,-251,-215,32,134,3
7,47,-252,-213,32,138,3
7,46,-252,-211,32,141,4
7,44,-253,-212,32,141,4
85,-125,-203,-244,-2,55,4
-6,-241,-71,-191,-51,154,4
-54,-245,-4,-61,-16,260,4
-74,-169,164,99,19,232,4
-14,-102,247,213,5,-111,4
-16,-128,223,222,11,-105,4
-39,-86,249,226,11,-98,4
-19,-4,261,229,7,-88,4
-30,9,257,222,5,-107,4
-37,14,257,214,9,-124,4
-24,120,224,211,11,-127,4
-8,121,191,220,12,-109,4
-173,27,115,227,15,-95,4
-35,-81,-193,232,16,-81,4
-33,-167,181,234,16,-75,4
-19,-191,197,233,15,-78,4
-11,-161,192,232,16,-81,4
-24,-155,193,231,15,-81,4
-30,-156,204,232,15,-81,4
-28,-144,211,231,16,-83,4
-24,-162,202,231,15,-83,4
-26,-158,202,231,16,-83,4
-26,-160,200,231,15,-83,4
-23,-161,199,231,16,-83,4
-21,-161,199,231,17,-83,4
-23,-159,201,230,16,-86,4
-23,-156,203,230,16,-86,4
-22,-156,203,230,16,-86,4
-21,-157,203,230,16,-85,4
-20,-158,203,230,16,-85,4
-19,-157,203,231,17,-84,4
-19,-160,200,231,16,-83,4
-19,-159,201,231,17,-83,4
-19,-159,201,231,17,-84,4
-19,-158,203,231,17,-84,4
-19,-158,202,231,17,-84,4
-19,-158,202,231,17,-84,4
-18,-158,202,231,16,-84,4
-18,-159,202,231,16,-84,4
-18,-159,201,231,17,-84,4
