x_chest,y_chest,z_chest,x_ankle,y_ankle,z_ankle,position
5,59,-250,-216,7,135,3
6,59,-250,-217,6,135,3
5,60,-249,-216,6,135,3
5,59,-249,-216,6,135,3
6,60,-249,-216,6,135,3
5,58,-250,-216,6,135,3
6,60,-250,-216,6,136,3
6,57,-249,-216,6,136,3
6,59,-250,-216,6,136,3
6,58,-249,-216,6,136,4
6,57,-250,-216,7,136,4
5,59,-249,-216,7,137,4
6,58,-250,-216,7,136,4
6,59,-249,-216,6,137,4
6,59,-250,-216,7,137,4
6,59,-250,-216,6,136,4
6,58,-250,-216,6,137,4
5,60,-249,-216,6,136,4
0,59,-250,-246,-14,82,4
137,-49,-194,-170,-93,-147,4
119,-143,174,135,-76,-113,4
-1,-142,220,231,31,-73,4
52,-148,207,242,45,-5,4
51,-155,201,243,45,-4,4
50,-154,202,242,44,-2,4
52,-153,202,242,45,-2,4
53,-153,202,242,44,-2,4
54,-152,203,242,44,0,4
54,-153,202,243,44,0,4
54,-153,202,242,44,-1,4
53,-152,203,242,44,0,4
53,-152,203,242,44,0,4
53,-152,203,243,44,1,4
53,-151,204,243,44,1,4
53,-151,204,242,44,1,4
52,-150,205,242,44,2,4
52,-150,205,242,43,1,4
52,-150,205,242,44,2,4
52,-149,206,243,45,3,4
51,-148,206,242,44,2,4
51,-149,207,242,44,3,4
51,-149,205,242,44,3,4
51,-150,205,242,43,3,4
52,-150,205,242,44,3,4
52,-150,204,242,44,2,4
52,-150,205,243,43,3,4
52,-149,205,242,44,3,4
52,-149,205,242,43,4,4
52,-149,206,243,44,4,4
52,-149,205,242,44,4,4
52,-149,206,242,44,4,4
51,-149,205,242,44,4,4
52,-150,205,243,43,4,4
52,-150,204,243,43,4,4
52,-150,204,242,43,4,4
53,-149,205,242,44,4,4
52,-150,205,243,43,3,4
53,-150,205,242,43,3,4
52,-150,205,242,43,3,4
52,-149,205,243,43,4,4
52,-149,205,243,42,3,4
52,-149,205,243,43,3,4
52,-149,205,242,43,3,4
52,-149,205,242,43,3,4
52,-149,206,243,43,3,4
52,-149,205,243,42,3,4
52,-149,206,242,43,3,4
52,-150,205,243,42,2,4
52,-150,205,243,43,3,5
51,-151,204,242,42,2,5
51,-151,204,243,43,2,5
51,-151,205,243,43,2,5
51,-151,204,243,42,2,5
51,-152,205,245,42,0,5
35,-153,206,234,26,-63,5
37,-141,215,228,21,-92,5
58,-100,235,202,11,-126,5
43,-144,217,232,26,-59,5
40,-133,223,231,28,-71,5
42,-147,210,215,32,-104,5
36,-145,211,236,42,-51,5
35,-145,212,237,42,-43,5
35,-145,212,238,42,-38,5
35,-143,213,239,42,-35,5
35,-143,213,239,43,-35,5
35,-143,213,239,42,-33,5
34,-142,215,240,42,-32,5
35,-142,214,240,42,-32,5
35,-144,213,239,42,-32,5
35,-143,213,240,43,-30,5
35,-144,212,240,42,-31,5
34,-143,214,240,42,-30,5
35,-143,213,239,42,-31,5
34,-143,213,240,42,-30,5
34,-143,214,240,42,-31,5
34,-143,214,240,42,-31,5
34,-144,213,240,42,-30,5
34,-143,213,240,42,-31,5
33,-143,213,240,42,-28,5
33,-141,215,241,42,-26,5
34,-142,214,241,42,-27,5
34,-142,214,241,42,-27,5
34,-142,214,241,42,-27,5
34,-143,213,241,42,-29,5
34,-143,214,241,42,-26,5
33,-142,214,241,42,-26,5
33,-140,216,241,42,-25,5
34,-142,214,241,42,-24,5
34,-141,214,241,42,-21,5
33,-141,215,242,43,-20,5
33,-142,215,241,42,-21,5
33,-141,215,241,43,-21,5
33,-141,215,241,43,-21,5
33,-141,214,241,42,-20,5
34,-142,215,241,42,-20,5
33,-141,215,241,43,-21,5
34,-140,215,241,42,-20,5
33,-141,215,241,43,-21,5
34,-140,216,241,43,-20,5
33,-141,215,241,42,-20,5
33,-141,215,241,42,-20,5
33,-141,215,242,42,-20,5
33,-140,216,242,42,-19,5
34,-141,216,241,42,-19,5
33,-140,216,241,42,-19,5
33,-141,215,242,42,-18,5
33,-141,215,242,42,-17,5
33,-141,215,242,42,-17,6
33,-141,215,241,42,-18,6
31,-170,185,218,37,-74,6
44,-141,218,192,41,-117,6
19,-162,193,238,23,37,6
-16,-97,236,244,24,-39,6
-2,-39,258,243,31,-11,6
-3,-37,258,244,34,-6,6
-2,-36,258,244,34,-5,6
-1,-35,259,244,34,-5,6
-2,-34,259,244,34,-6,6
-3,-34,259,244,34,-4,6
-2,-35,259,244,33,-4,6
-2,-34,259,245,34,-4,6
-2,-34,259,244,33,-3,6
-2,-35,258,244,33,-3,6
-1,-33,259,244,33,-4,6
-2,-34,259,244,33,-4,6
-2,-33,259,244,33,-3,6
-2,-34,259,245,33,-3,6
-2,-33,259,245,33,-2,6
-2,-32,259,244,34,0,6
-2,-34,259,244,33,-1,6
-2,-34,259,245,34,-1,6
-3,-34,259,244,33,-2,6
-2,-33,259,245,33,-1,6
-3,-34,259,244,33,-2,6
-2,-33,259,245,33,-1,6
-3,-34,259,244,33,-2,6
-2,-33,259,245,33,0,6
-2,-33,259,244,33,0,6
-3,-33,259,244,33,0,6
-3,-33,259,244,33,0,6
-3,-34,259,244,36,-2,6
-2,-32,259,244,36,-2,6
-2,-33,259,244,36,-4,6
-2,-33,259,244,36,-3,6
-2,-34,259,244,36,-5,6
-2,-33,259,244,36,-3,6
-2,-33,259,244,36,-4,6
-3,-33,259,244,36,-3,6
-2,-32,259,244,37,-4,6
-2,-33,259,244,36,-3,6
-2,-32,259,244,36,-3,6
-3,-33,259,244,36,-3,6
-2,-32,259,244,36,-4,6
-3,-33,259,244,36,-4,6
-2,-32,260,244,36,-3,6
-2,-33,259,244,36,-3,6
-3,-32,259,244,36,-4,6
-3,-33,259,244,36,-4,6
-3,-32,260,244,36,-4,6
-3,-32,259,244,36,-4,6
-3,-31,259,244,36,-4,6
-2,-32,259,244,36,-4,6
-3,-31,260,244,36,-4,6
-2,-32,259,244,36,-3,6
-3,-31,259,244,36,-3,6
-2,-31,260,244,36,-3,6
-2,-32,259,244,36,-3,7
-2,-31,260,244,36,-3,7
-3,-31,259,244,36,-3,7
1,-96,247,241,31,-36,7
18,-160,202,231,30,-77,7
15,-160,200,231,32,-74,7
-136,-122,149,72,23,257,7
-200,-14,-147,2,-7,259,7
-214,-23,-129,-83,-17,247,7
-240,-17,-66,6,-5,268,7
-231,-13,-95,75,-5,257,7
-218,8,-121,82,2,253,7
-225,-18,-109,78,3,255,7
-224,-12,-111,74,3,256,7
-225,-11,-110,74,3,256,7
-225,-12,-111,76,3,256,7
-224,-12,-112,74,4,255,7
-224,-12,-111,74,3,256,7
-224,-12,-113,74,3,256,7
-224,-11,-111,74,3,256,7
-224,-12,-113,74,3,256,7
-224,-11,-112,74,4,256,7
-224,-10,-112,74,4,256,7
-223,-11,-114,74,4,256,7
-224,-10,-112,74,3,256,7
-223,-11,-114,73,4,256,7
-223,-10,-113,74,4,256,7
-223,-11,-115,73,3,256,7
-222,-11,-115,73,4,256,7
-223,-11,-115,74,4,256,7
-222,-10,-116,74,4,256,7
-223,-10,-115,74,4,256,7
-222,-11,-116,73,4,256,7
-223,-10,-115,73,4,256,7
-222,-10,-116,73,4,256,7
-223,-10,-115,73,4,256,7
-222,-11,-116,74,4,256,7
-223,-10,-114,74,4,256,7
-222,-11,-115,73,4,256,7
-223,-10,-115,74,4,256,7
-222,-11,-115,73,4,256,7
-223,-11,-114,74,4,256,7
-222,-12,-116,73,4,256,7
-223,-11,-113,73,4,256,7
-222,-12,-115,73,4,256,7
-223,-11,-114,73,4,256,7
-222,-12,-116,73,4,256,7
-223,-11,-114,73,4,256,7
-222,-12,-115,73,4,256,7
-223,-11,-114,73,4,256,7
-222,-12,-116,73,4,256,7
-223,-11,-115,73,4,256,7
-223,-11,-115,73,4,256,7
-222,-11,-115,73,4,256,7
-223,-11,-115,73,4,256,7
-222,-11,-116,73,4,257,7
-223,-10,-115,73,4,256,7
-222,-11,-116,72,4,257,7
-222,-11,-116,72,4,256,7
-222,-11,-117,72,4,256,8
-223,-10,-115,72,4,256,8
-222,-11,-117,72,4,257,8
-222,-11,-115,72,4,257,8
-222,-12,-117,72,4,256,8
-226,-9,-108,75,2,261,8
-233,-37,-85,37,7,272,8
-234,-27,-86,40,-1,265,8
-230,-24,-96,35,-2,266,8
-229,-22,-98,35,-2,266,8
-230,-23,-96,37,-2,269,8
-230,-23,-97,-5,-3,269,8
-229,-24,-99,-7,-6,269,8
-229,-23,-99,-7,-6,269,8
-229,-24,-99,-8,-6,269,8
-229,-23,-99,-8,-6,269,8
-229,-24,-99,-8,-6,269,8
-229,-23,-98,-9,-7,269,8
-229,-24,-99,-9,-7,269,8
-230,-23,-98,-9,-7,269,8
-229,-24,-99,-9,-7,269,8
-229,-22,-99,-9,-7,269,8
-228,-23,-101,-9,-7,269,8
-228,-22,-100,-9,-7,269,8
-228,-23,-101,-9,-7,269,8
-229,-22,-100,-9,-7,269,8
-228,-23,-101,-10,-7,269,8
-229,-22,-100,-10,-7,269,8
-228,-23,-101,-10,-7,269,8
-229,-22,-101,-10,-7,269,8
-229,-22,-101,-10,-7,269,8
-228,-22,-101,-10,-7,269,8
-228,-22,-101,-10,-7,269,8
-228,-22,-101,-10,-7,269,8
-228,-22,-101,-10,-7,269,8
-228,-22,-101,-10,-7,269,8
-228,-22,-101,-11,-7,269,8
-228,-22,-102,-11,-8,269,8
-229,-22,-101,-11,-8,269,8
-228,-22,-102,-11,-7,269,8
-229,-22,-101,-11,-8,269,8
-228,-22,-102,-11,-8,269,8
-229,-21,-101,-11,-7,270,8
-228,-22,-102,-11,-8,269,8
-229,-21,-101,-11,-8,269,8
-228,-22,-103,-11,-8,269,8
-228,-21,-101,-11,-8,269,8
-228,-22,-102,-11,-8,269,8
-228,-21,-101,-11,-7,269,8
-228,-21,-102,-12,-7,269,8
-228,-21,-102,-11,-7,269,8
-228,-21,-102,-11,-8,269,8
-228,-22,-102,-11,-8,269,8
-228,-21,-102,-11,-8,269,8
-228,-22,-102,-11,-8,269,8
-228,-21,-102,-12,-7,269,8
-228,-21,-102,-12,-8,269,8
-228,-21,-102,-12,-8,269,8
-228,-20,-102,-12,-8,269,8
-228,-20,-103,-12,-8,269,9
-228,-21,-103,-12,-8,269,9
-225,-14,-110,-13,-8,268,9
-224,-28,-109,2,43,244,9
-215,-21,-128,-8,-2,268,9
-221,-19,-118,-9,7,263,9
-238,-50,-70,-9,3,268,9
-234,-38,-82,-10,1,269,9
-231,-35,-91,-12,1,268,9
-233,-34,-87,-10,1,268,9
-233,-37,-87,-10,1,268,9
-233,-33,-87,-10,1,268,9
-232,-34,-90,-9,1,268,9
-233,-32,-88,-9,1,268,9
-232,-33,-90,-10,1,268,9
-232,-31,-90,-9,1,268,9
-232,-32,-91,-9,1,268,9
-232,-30,-89,-9,0,268,9
-232,-31,-91,-9,1,268,9
-232,-30,-90,-9,1,268,9
-232,-32,-91,-9,1,268,9
-232,-30,-90,-9,0,268,9
-231,-32,-92,-9,1,268,9
-232,-31,-91,-9,0,268,9
-231,-32,-92,-9,1,269,9
-231,-31,-91,-8,1,268,9
-232,-30,-92,-9,1,268,9
-231,-31,-92,-9,0,269,9
-232,-30,-91,-9,0,268,9
-231,-32,-93,-9,0,268,9
-233,-31,-88,-9,1,268,9
-240,-45,-61,-7,1,268,9
-235,-41,-78,-7,1,268,9
-233,-34,-86,-8,1,268,9
-233,-37,-86,-8,0,269,9
-234,-35,-84,-8,0,268,9
-232,-37,-87,-8,1,268,9
-234,-35,-83,-7,0,268,9
-237,-43,-73,-7,1,269,9
-234,-38,-83,-7,0,268,9
-234,-39,-84,-6,1,268,9
-234,-37,-85,-7,1,268,9
-234,-36,-84,-6,1,268,9
-233,-38,-85,-7,1,268,9
-234,-35,-84,-7,1,268,9
-230,-27,-98,-6,1,268,9
-230,-25,-98,-6,1,268,9
-229,-28,-100,-7,1,268,9
-229,-25,-98,-7,1,268,9
-228,-27,-102,-6,1,269,9
-228,-25,-101,-6,1,268,9
-228,-27,-102,-7,1,268,9
-234,-38,-82,-6,1,268,9
-232,-36,-89,-6,1,268,9
-232,-35,-91,-6,1,269,9
-231,-34,-91,-6,1,268,9
-232,-34,-90,-6,1,268,9
