id,x_chest,y_chest,z_chest,x_ankle,y_ankle,z_ankle,position
alessandra,-8,84,-241,-217,37,129,3
alessandra,-7,86,-240,-217,37,129,3
alessandra,-7,85,-241,-217,37,129,3
alessandra,-6,86,-241,-217,36,129,3
alessandra,-5,86,-240,-217,37,129,3
alessandra,-4,88,-240,-217,37,129,3
alessandra,-6,86,-240,-217,37,129,3
alessandra,-6,86,-240,-216,37,129,3
alessandra,-6,85,-241,-216,36,129,3
alessandra,-6,85,-241,-216,37,130,3
alessandra,-6,85,-241,-216,36,130,3
alessandra,-7,86,-241,-216,37,130,3
alessandra,-6,85,-241,-216,37,130,3
alessandra,-6,86,-241,-216,36,130,3
alessandra,-6,83,-241,-216,36,130,3
alessandra,-6,85,-241,-216,37,130,3
alessandra,-6,86,-240,-216,36,130,3
alessandra,-7,86,-240,-216,36,130,3
alessandra,-7,87,-240,-216,37,130,3
alessandra,-8,86,-241,-216,37,130,3
alessandra,-8,86,-240,-216,36,130,4
alessandra,-7,96,-234,-215,36,132,4
alessandra,3,41,-258,-240,32,39,4
alessandra,10,-55,-253,-248,16,-17,4
alessandra,32,-98,-237,-228,-8,-67,4
alessandra,35,-187,-151,-91,-117,-173,4
alessandra,75,-242,10,-10,-107,-225,4
alessandra,31,-196,152,217,-47,-101,4
alessandra,-2,-195,165,242,16,-29,4
alessandra,-22,-177,186,250,8,-40,4
alessandra,-9,-191,168,238,14,-35,4
alessandra,0,-204,152,247,-18,-13,4
alessandra,0,-204,152,245,-17,-28,4
alessandra,0,-205,151,245,-17,-27,4
alessandra,0,-206,149,245,-17,-27,4
alessandra,0,-206,149,245,-17,-27,4
alessandra,0,-207,147,245,-18,-26,4
alessandra,0,-205,151,245,-17,-27,4
alessandra,0,-206,149,246,-17,-26,4
alessandra,0,-204,153,246,-17,-27,4
alessandra,0,-207,149,246,-17,-27,4
alessandra,0,-206,149,245,-17,-27,4
alessandra,0,-206,150,246,-17,-27,4
alessandra,0,-206,149,245,-17,-27,4
alessandra,1,-204,152,245,-17,-26,4
alessandra,0,-207,148,246,-17,-26,4
alessandra,1,-205,150,245,-17,-26,4
alessandra,1,-207,149,245,-17,-26,4
alessandra,1,-206,148,245,-17,-26,4
alessandra,1,-205,151,246,-17,-26,4
alessandra,1,-207,148,245,-17,-26,4
alessandra,0,-206,149,245,-17,-26,4
alessandra,1,-207,148,246,-17,-26,4
alessandra,0,-207,147,246,-17,-26,4
alessandra,1,-205,150,245,-17,-26,4
alessandra,1,-208,147,245,-17,-26,4
alessandra,1,-206,150,245,-17,-26,4
alessandra,1,-207,147,245,-17,-26,4
alessandra,1,-206,149,245,-17,-26,4
alessandra,1,-206,149,245,-17,-25,4
alessandra,1,-206,149,246,-17,-25,4
alessandra,1,-207,147,245,-17,-26,4
alessandra,0,-207,148,245,-17,-26,4
alessandra,1,-207,149,245,-17,-26,4
alessandra,0,-208,146,245,-17,-26,4
alessandra,1,-205,150,246,-17,-26,4
alessandra,1,-207,147,245,-17,-26,4
alessandra,1,-207,148,245,-17,-26,4
alessandra,1,-207,148,246,-17,-26,4
alessandra,1,-206,149,245,-17,-26,4
alessandra,1,-207,146,245,-17,-26,4
alessandra,1,-206,150,245,-17,-26,4
alessandra,1,-208,147,246,-17,-26,4
alessandra,1,-206,150,245,-17,-26,4
alessandra,1,-207,147,245,-17,-26,4
alessandra,1,-206,150,245,-17,-26,4
alessandra,1,-208,147,245,-17,-26,4
alessandra,1,-206,150,245,-17,-26,4
alessandra,1,-208,147,246,-17,-26,4
alessandra,1,-208,147,246,-17,-26,5
alessandra,0,-209,149,247,-17,-21,5
alessandra,-53,-199,148,236,-12,-38,5
alessandra,-12,-207,153,229,-11,-78,5
alessandra,62,-191,156,223,-10,-81,5
alessandra,87,-209,123,235,-13,-72,5
alessandra,41,-204,154,220,-31,-87,5
alessandra,22,-183,181,242,-11,-51,5
alessandra,-22,-163,204,235,-16,-73,5
alessandra,-12,-182,182,229,-16,-88,5
alessandra,0,-173,189,203,-26,-137,5
alessandra,0,-180,183,204,-27,-136,5
alessandra,2,-180,183,203,-27,-136,5
alessandra,2,-181,182,203,-27,-136,5
alessandra,3,-180,184,203,-27,-137,5
alessandra,3,-181,182,203,-27,-137,5
alessandra,3,-180,183,203,-26,-137,5
alessandra,3,-180,183,203,-27,-137,5
alessandra,3,-181,182,203,-27,-137,5
alessandra,3,-179,184,203,-27,-137,5
alessandra,3,-181,182,203,-27,-137,5
alessandra,3,-181,182,203,-27,-137,5
alessandra,4,-180,183,203,-27,-137,5
alessandra,3,-182,182,203,-27,-138,5
alessandra,4,-180,183,203,-27,-137,5
alessandra,3,-178,185,202,-26,-138,5
alessandra,3,-180,183,203,-27,-138,5
alessandra,3,-180,183,202,-27,-138,5
alessandra,3,-181,182,203,-27,-138,5
alessandra,3,-181,182,203,-27,-138,5
alessandra,4,-179,183,202,-27,-138,5
alessandra,4,-180,183,202,-27,-138,5
alessandra,3,-180,183,203,-27,-138,5
alessandra,4,-180,183,203,-27,-138,5
alessandra,4,-179,183,202,-27,-139,5
alessandra,3,-180,183,202,-27,-138,5
alessandra,4,-180,183,202,-27,-138,5
alessandra,4,-181,182,202,-27,-138,5
alessandra,4,-180,183,202,-27,-138,5
alessandra,4,-181,182,202,-27,-138,5
alessandra,4,-180,183,202,-27,-138,5
alessandra,4,-181,182,202,-27,-138,5
alessandra,4,-181,182,202,-27,-138,5
alessandra,4,-180,182,202,-27,-139,5
alessandra,4,-181,182,202,-27,-139,5
alessandra,4,-181,182,202,-26,-138,5
alessandra,4,-180,183,202,-27,-139,5
alessandra,4,-181,182,202,-27,-139,5
alessandra,5,-180,182,202,-27,-139,5
alessandra,5,-182,182,202,-27,-138,5
alessandra,5,-180,183,202,-27,-139,5
alessandra,4,-181,183,202,-27,-139,5
alessandra,5,-181,182,202,-27,-139,5
alessandra,4,-180,183,202,-27,-139,5
alessandra,4,-181,182,202,-27,-138,5
alessandra,4,-181,182,202,-27,-139,5
alessandra,4,-181,182,202,-27,-139,5
alessandra,4,-181,183,202,-27,-139,5
alessandra,5,-181,182,202,-27,-139,5
alessandra,6,-183,180,202,-27,-138,6
alessandra,6,-183,180,202,-27,-140,6
alessandra,-22,-200,145,236,-14,-66,6
alessandra,-2,-220,143,220,6,-60,6
alessandra,43,-188,170,187,-31,-65,6
alessandra,-29,-193,155,235,10,95,6
alessandra,-10,-205,163,240,-11,-41,6
alessandra,15,-165,197,245,-14,-30,6
alessandra,5,-185,178,235,-15,-74,6
alessandra,5,-187,176,228,-18,-90,6
alessandra,9,-184,179,229,-18,-88,6
alessandra,9,-187,176,228,-20,-92,6
alessandra,11,-186,178,228,-20,-92,6
alessandra,9,-187,176,228,-19,-91,6
alessandra,9,-187,176,228,-20,-92,6
alessandra,10,-187,177,227,-20,-93,6
alessandra,10,-188,176,228,-20,-92,6
alessandra,11,-185,177,227,-20,-93,6
alessandra,10,-187,176,228,-20,-92,6
alessandra,11,-186,177,228,-20,-92,6
alessandra,11,-186,176,228,-19,-92,6
alessandra,11,-186,177,227,-19,-93,6
alessandra,11,-187,175,227,-19,-92,6
alessandra,11,-188,174,228,-20,-92,6
alessandra,11,-185,177,228,-19,-92,6
alessandra,11,-188,174,228,-19,-92,6
alessandra,12,-186,176,228,-20,-92,6
alessandra,11,-188,175,228,-20,-92,6
alessandra,12,-187,176,228,-20,-92,6
alessandra,12,-187,175,228,-20,-92,6
alessandra,12,-187,175,228,-20,-92,6
alessandra,12,-186,176,227,-19,-93,6
alessandra,12,-188,174,228,-19,-92,6
alessandra,12,-187,175,227,-19,-92,6
alessandra,11,-188,174,228,-19,-92,6
alessandra,11,-188,174,228,-19,-92,6
alessandra,12,-188,175,227,-20,-93,6
alessandra,12,-188,174,228,-19,-92,6
alessandra,12,-188,174,228,-19,-93,6
alessandra,12,-188,174,228,-19,-92,6
alessandra,12,-187,175,227,-19,-93,6
alessandra,12,-189,173,228,-19,-92,6
alessandra,12,-189,173,228,-19,-92,6
alessandra,12,-189,173,227,-19,-92,6
alessandra,12,-188,174,227,-20,-92,6
alessandra,12,-189,173,227,-19,-93,6
alessandra,12,-189,173,228,-19,-92,6
alessandra,12,-189,173,227,-19,-92,6
alessandra,12,-189,173,228,-20,-92,6
alessandra,12,-188,174,227,-19,-93,6
alessandra,12,-190,172,228,-19,-92,6
alessandra,12,-189,173,227,-20,-92,6
alessandra,12,-190,172,227,-19,-92,6
alessandra,12,-189,173,227,-19,-93,6
alessandra,12,-189,172,228,-19,-92,6
alessandra,12,-189,173,227,-19,-93,6
alessandra,13,-190,172,227,-19,-92,6
alessandra,13,-189,173,227,-19,-93,6
alessandra,13,-190,172,227,-20,-92,6
alessandra,13,-190,172,227,-19,-92,7
alessandra,13,-189,173,227,-19,-93,7
alessandra,-56,-186,155,235,-30,-78,7
alessandra,-66,-216,119,238,-19,-59,7
alessandra,-81,-229,70,241,-16,-44,7
alessandra,-130,-177,114,132,-13,146,7
alessandra,-177,-169,54,52,6,263,7
alessandra,-187,-164,12,-19,28,267,7
alessandra,-60,-69,32,-19,28,267,7
alessandra,-172,-151,21,11,18,273,7
alessandra,-235,-29,-72,52,17,261,7
alessandra,-243,-31,-59,37,30,262,7
alessandra,-245,-52,-16,84,11,244,7
alessandra,-245,-51,-23,60,14,257,7
alessandra,-243,-47,-37,27,43,261,7
alessandra,-244,-33,-52,38,34,262,7
alessandra,-232,-10,-93,50,20,262,7
alessandra,-241,-32,-65,61,28,258,7
alessandra,-238,-24,-72,58,30,258,7
alessandra,-238,-21,-75,57,32,259,7
alessandra,-237,-16,-76,56,32,259,7
alessandra,-236,-19,-78,55,33,259,7
alessandra,-237,-17,-79,55,33,259,7
alessandra,-236,-16,-81,54,33,259,7
alessandra,-236,-16,-81,54,34,259,7
alessandra,-236,-17,-81,54,34,259,7
alessandra,-236,-15,-80,54,34,259,7
alessandra,-235,-16,-83,54,34,259,7
alessandra,-238,-13,-75,54,34,259,7
alessandra,-236,-15,-82,53,34,259,7
alessandra,-237,-12,-76,53,34,260,7
alessandra,-236,-14,-82,53,35,259,7
alessandra,-237,-13,-79,53,34,259,7
alessandra,-236,-14,-81,53,35,259,7
alessandra,-236,-14,-80,52,34,259,7
alessandra,-235,-14,-83,52,35,259,7
alessandra,-236,-13,-80,52,35,259,7
alessandra,-235,-14,-83,52,35,260,7
alessandra,-235,-13,-82,52,35,259,7
alessandra,-235,-13,-83,51,35,259,7
alessandra,-235,-13,-82,52,35,260,7
alessandra,-236,-12,-81,52,36,260,7
alessandra,-235,-12,-82,52,35,259,7
alessandra,-235,-12,-84,52,36,259,7
alessandra,-234,-12,-86,51,36,259,7
alessandra,-235,-11,-83,51,36,260,7
alessandra,-234,-13,-86,51,36,259,7
alessandra,-235,-11,-82,51,35,259,7
alessandra,-234,-12,-86,51,36,260,7
alessandra,-235,-11,-83,51,36,259,7
alessandra,-234,-12,-87,51,36,260,7
alessandra,-235,-11,-83,51,36,260,7
alessandra,-234,-11,-86,50,36,260,7
alessandra,-235,-11,-86,51,36,260,7
alessandra,-235,-10,-83,51,36,260,7
alessandra,-234,-12,-86,51,37,260,7
alessandra,-235,-9,-83,51,36,260,7
alessandra,-234,-11,-88,50,36,260,7
alessandra,-235,-9,-84,51,36,259,7
alessandra,-235,-10,-83,50,36,260,8
