x_chest,y_chest,z_chest,x_ankle,y_ankle,z_ankle,position
-183,46,-118,-68,-2,249,4
-184,-160,42,61,73,247,4
-147,-201,28,83,90,234,4
-55,-227,115,235,66,55,4
-92,-190,148,236,58,18,4
-42,-183,174,240,43,-25,4
-10,-191,170,241,32,-41,4
-21,-181,180,239,29,-49,4
5,-221,123,242,33,-34,4
3,-214,137,242,30,-34,4
4,-216,134,243,31,-28,4
-3,-206,149,242,28,-36,4
-2,-205,149,242,27,-39,4
-1,-207,148,239,19,-54,4
31,-195,162,239,49,47,4
-38,-192,165,243,38,0,4
-25,-206,141,244,35,-5,4
1,-209,144,245,28,-16,4
4,-219,127,249,20,-2,4
3,-214,136,246,20,-1,4
7,-210,142,246,21,0,4
4,-212,139,246,21,0,4
5,-212,139,247,21,0,4
4,-213,138,246,21,0,4
4,-213,138,247,21,0,4
4,-213,138,246,21,0,4
4,-212,139,246,20,0,4
5,-212,140,247,21,0,4
4,-212,139,246,21,0,4
5,-212,140,246,21,0,4
5,-211,140,246,21,0,4
6,-211,140,246,21,0,4
5,-212,140,246,21,0,4
6,-211,140,246,20,0,4
5,-212,140,247,21,0,4
6,-212,140,246,21,0,4
5,-211,140,246,21,0,4
7,-211,141,246,21,0,4
5,-211,141,246,21,0,4
6,-211,141,246,21,0,4
6,-211,141,246,21,0,4
6,-211,141,246,21,1,4
5,-211,141,246,21,0,4
6,-210,142,246,21,0,4
5,-211,141,246,21,0,4
6,-211,141,246,21,0,4
6,-211,141,246,21,0,5
6,-212,140,247,21,0,5
5,-212,140,246,21,0,5
6,-211,140,247,21,0,5
6,-211,140,246,21,0,5
-42,-178,176,243,15,-38,5
-28,-190,171,242,19,-41,5
47,-187,180,249,27,-21,5
18,-208,140,211,0,-105,5
-16,-209,145,240,44,-29,5
-14,-176,183,241,32,-41,5
-43,-205,143,240,24,-48,5
-39,-213,131,242,23,-38,5
-38,-214,129,242,23,-38,5
-50,-211,131,242,23,-39,5
-47,-216,122,242,21,-39,5
-52,-218,112,243,21,-36,5
-52,-225,101,243,22,-36,5
-48,-222,110,243,23,-33,5
-47,-223,110,243,22,-34,5
-46,-223,110,243,22,-34,5
-49,-222,108,243,22,-35,5
-49,-223,107,243,22,-34,5
-48,-224,106,243,23,-34,5
-51,-221,113,243,23,-34,5
-69,-217,108,243,22,-36,5
-69,-218,108,243,22,-37,5
-65,-215,114,243,22,-36,5
-61,-216,118,243,22,-35,5
-60,-218,113,243,22,-36,5
-58,-218,115,243,22,-36,5
-60,-217,115,243,22,-34,5
-67,-212,118,243,22,-36,5
-63,-215,116,243,22,-35,5
-61,-217,115,243,22,-35,5
-59,-212,123,243,22,-34,5
-72,-203,128,243,22,-36,5
-69,-210,119,243,22,-35,5
-34,-211,134,243,22,-35,5
-34,-216,127,243,22,-34,5
-36,-215,127,243,22,-34,5
-36,-216,127,243,22,-34,5
-36,-215,127,243,22,-34,5
-36,-215,127,243,22,-34,5
-36,-215,127,243,22,-34,5
-36,-215,128,243,22,-34,5
-36,-215,128,243,22,-34,5
-36,-215,128,243,22,-35,5
-35,-215,127,243,22,-34,5
-36,-215,127,243,22,-34,5
-36,-215,127,243,22,-34,5
-35,-215,128,243,22,-34,5
-35,-215,129,243,22,-34,5
-36,-215,129,243,22,-34,5
-35,-215,128,243,22,-33,5
-35,-215,129,243,22,-34,5
-35,-215,128,243,22,-34,5
-35,-214,129,243,22,-34,5
-35,-215,129,243,22,-34,5
-44,-207,138,244,23,-32,6
-49,-213,127,243,22,-33,6
-18,-184,179,243,34,-26,6
-13,-221,131,199,89,62,6
-47,-219,116,236,57,-5,6
-60,-190,162,238,31,-45,6
-38,-207,139,239,30,-55,6
-61,-209,126,237,27,-62,6
-56,-211,129,238,30,-39,6
-37,-216,127,236,69,49,6
-34,-216,124,246,24,0,6
-36,-216,127,250,22,-11,6
-31,-212,135,243,32,22,6
-45,-213,130,245,21,-16,6
-40,-211,130,246,20,-12,6
-43,-214,128,246,20,-13,6
-43,-219,119,246,19,-15,6
-38,-219,120,246,19,-14,6
