x1,y1,z1,x2,y2,z2
48,193,147,2,-216,-129 
48,193,147,3,-216,-130 
48,193,147,2,-215,-130 
48,193,147,3,-215,-129 
48,193,147,2,-216,-129 
48,193,147,2,-215,-130 
48,193,147,3,-215,-130 
48,193,147,3,-215,-130 
48,193,147,2,-216,-130 
48,194,146,3,-215,-130 
48,193,147,3,-215,-129 
49,193,148,2,-216,-130 
48,193,147,3,-215,-130 
49,193,147,1,-215,-130 
49,192,147,1,-215,-130 
49,192,148,2,-216,-129 
49,193,148,1,-216,-130 
49,192,148,2,-216,-129 
49,193,148,2,-216,-129 
48,191,146,2,-216,-130 
49,192,148,2,-215,-130 
49,192,147,2,-216,-129 
49,193,147,2,-216,-129 
49,192,147,2,-216,-129 
49,192,148,1,-216,-130 
49,192,147,1,-216,-129 
49,192,147,2,-215,-130 
49,193,147,2,-216,-130 
48,193,147,2,-216,-130 
49,193,147,2,-216,-130 
49,193,147,2,-215,-129 
48,193,146,3,-216,-130 
48,193,146,3,-216,-130 
48,193,146,3,-216,-130 
48,193,146,3,-215,-130 
48,193,146,3,-215,-129 
48,193,146,3,-215,-130 
48,194,146,3,-216,-130 
48,193,146,3,-216,-130 
48,193,146,3,-215,-130 
48,193,146,3,-215,-130 
48,193,146,3,-216,-130 
48,193,146,3,-216,-130 
48,193,146,3,-216,-130 
48,194,146,4,-216,-130 
48,193,146,3,-216,-130 
48,194,146,4,-216,-130 
48,193,145,3,-215,-130 
48,193,146,3,-215,-130 
48,194,145,3,-215,-130 
48,193,146,3,-215,-130 
48,193,146,3,-216,-130 
48,193,146,4,-216,-130 
48,194,146,3,-215,-130 
48,193,146,3,-215,-130 
48,193,146,3,-216,-130 
48,193,146,3,-215,-130 
48,193,146,3,-216,-130 
48,193,146,3,-216,-130 
48,193,146,3,-215,-130 
48,193,146,3,-215,-130 
48,193,146,3,-215,-130 
48,193,146,3,-215,-130 
48,194,146,3,-216,-130 
48,193,146,4,-215,-130 
48,193,146,3,-215,-130 
48,194,146,4,-216,-130 
48,194,146,4,-215,-130 
48,194,147,4,-215,-130 
48,193,146,4,-215,-130 
48,194,146,4,-216,-129 
48,193,146,3,-215,-130 
48,193,146,3,-215,-130 
48,193,146,3,-216,-130 
48,193,146,3,-216,-130 
48,194,146,3,-215,-130 
48,193,146,3,-216,-130 
48,193,147,3,-215,-130 
48,194,146,4,-216,-130 
48,193,146,3,-216,-130 
48,193,146,3,-216,-130 
48,193,146,3,-216,-130 
48,193,146,3,-215,-130 
48,193,146,4,-215,-130 
48,193,146,4,-216,-130 
48,194,146,3,-215,-130 
48,193,146,3,-216,-130 
48,193,146,3,-216,-130 
48,193,146,3,-215,-130 
48,193,146,3,-216,-130 
48,194,146,4,-215,-130 
48,193,147,3,-216,-130 
48,194,146,3,-215,-130 
