x1,y1,z1,x2,y2,z2
2,-253,0,-4,238,40 
2,-253,0,-4,238,41 
2,-253,0,-4,237,41 
2,-253,0,-4,238,41 
2,-253,0,-4,237,41 
2,-252,0,-5,236,40 
2,-253,0,-4,237,41 
2,-253,0,-4,238,40 
2,-253,0,-4,238,40 
2,-253,0,-4,237,40 
2,-254,0,-4,239,41 
2,-253,0,-4,238,40 
2,-253,0,-5,238,41 
2,-253,0,-4,237,40 
2,-253,0,-4,238,41 
2,-253,0,-4,238,41 
2,-253,0,-4,237,40 
2,-253,0,-4,237,41 
2,-253,0,-4,237,41 
2,-253,0,-4,238,41 
2,-253,0,-4,238,40 
2,-253,0,-4,237,41 
2,-253,0,-4,237,41 
2,-253,0,-4,238,41 
2,-253,0,-4,238,41 
2,-253,0,-4,237,41 
2,-253,0,-4,238,41 
2,-253,0,-4,238,41 
2,-253,0,-4,237,41 
2,-253,0,-4,238,41 
2,-253,0,-4,238,40 
2,-253,0,-4,238,40 
2,-253,0,-4,238,41 
2,-253,0,-4,238,41 
2,-253,0,-4,238,40 
2,-253,0,-4,238,40 
2,-253,0,-4,238,41 
2,-253,0,-4,237,40 
2,-253,0,-4,238,41 
2,-253,0,-4,237,41 
2,-253,0,-4,237,41 
2,-253,0,-4,238,40 
2,-253,0,-4,238,41 
2,-253,0,-4,238,40 
2,-253,0,-4,237,41 
2,-253,0,-4,238,41 
2,-253,0,-4,238,41 
