x1,y1,z1,x2,y2,z2
-180,-135,112,8,-141,-207 
-180,-135,113,8,-141,-206 
-180,-133,116,7,-143,-206 
-180,-132,117,6,-148,-202 
-180,-132,117,5,-149,-201 
-181,-131,117,7,-144,-205 
-184,-127,117,6,-147,-203 
-187,-123,117,7,-141,-207 
-186,-124,117,7,-142,-206 
-186,-124,118,8,-141,-207 
-186,-124,117,7,-141,-207 
-186,-124,118,8,-138,-210 
-185,-124,118,7,-140,-208 
-185,-124,119,5,-142,-206 
-185,-124,120,6,-145,-204 
-185,-124,120,6,-146,-203 
-185,-124,120,9,-142,-206 
-186,-122,119,8,-142,-206 
-184,-121,124,8,-145,-204 
-183,-121,125,7,-143,-206 
-183,-121,126,7,-144,-205 
-185,-122,120,8,-140,-208 
-186,-122,120,9,-136,-211 
-186,-122,121,8,-140,-207 
-189,-120,117,8,-135,-212 
-193,-114,115,11,-131,-214 
-190,-113,121,12,-132,-214 
-190,-114,120,10,-132,-215 
-189,-115,120,8,-137,-210 
-188,-115,124,12,-138,-209 
-188,-115,124,10,-137,-210 
-188,-115,124,13,-131,-215 
-189,-114,122,13,-132,-214 
-189,-114,122,17,-130,-215 
-187,-110,131,17,-128,-216 
-186,-111,130,15,-130,-215 
-186,-111,130,18,-125,-218 
-186,-111,130,17,-128,-216 
-189,-112,123,16,-129,-216 
-186,-110,130,16,-129,-216 
-186,-110,131,17,-128,-217 
-186,-110,131,18,-125,-219 
-186,-110,131,15,-127,-218 
-185,-110,131,15,-125,-218 
-185,-111,131,15,-128,-217 
-186,-111,131,17,-128,-217 
-185,-111,132,17,-124,-219 
-185,-111,132,16,-126,-218 
-185,-111,132,14,-129,-216 
-185,-110,131,13,-130,-216 
-186,-111,131,13,-129,-216 
-185,-111,132,13,-125,-218 
-185,-111,131,12,-125,-219 
-185,-111,131,10,-126,-218 
-185,-111,131,9,-128,-217 
-186,-111,130,10,-127,-217 
-186,-111,130,11,-128,-218 
-186,-111,130,13,-126,-218 
-187,-113,124,14,-123,-219 
-121,-210,47,14,-120,-224 
-47,-241,20,27,-200,-150 
-53,-239,9,18,-262,9 
19,-244,-33,72,-238,5 
-5,-245,30,-8,-246,74 
-1,-247,20,7,-251,43 
-11,-245,30,-3,-253,36 
-5,-246,27,-5,-253,37 
-4,-246,26,-5,-252,38 
-4,-246,24,-2,-252,49 
-5,-246,26,-1,-250,61 
-12,-245,29,0,-241,94 
-9,-245,28,0,-246,71 
-4,-246,24,-1,-252,43 
-6,-245,27,-17,-247,68 
-5,-246,27,-11,-247,70 
-6,-245,29,-18,-246,72 
-5,-245,28,-19,-241,86 
-6,-246,27,-15,-245,78 
-6,-245,28,-18,-238,99 
-5,-246,29,-3,-253,50 
-6,-246,29,3,-255,28 
-8,-246,28,0,-254,25 
-6,-245,27,-11,-253,27 
-4,-246,23,-2,-254,22 
-5,-246,24,-21,-252,25 
-7,-245,32,4,-251,44 
-6,-246,29,-6,-251,49 
-6,-246,22,0,-253,22 
-14,-244,34,-49,-245,58 
-26,-245,0,-1,-252,43 
-23,-244,27,9,-250,63 
